term;explanation
Defenestration;выбрасывание из окна (буквально или как политический термин)
Ephemeral;мимолётный (кратковременный, быстро исчезающий)
Hiraeth;тоска по дому (особенно по месту, которое больше не существует)
Mellifluous;медовый (о голосе/звуке — приятный, плавный)
Meticulous;дотошный (придирающийся к мелочам)
Nefarious;зловещий (откровенно злой или преступный)
Nuclear;ядерный (из физики)
Petrichor;запах после дождя (характерный аромат влажной земли)
Scintilla;искра (мельчайшая частица или след чего-либо)
Serendipity;удачное открытие (неожиданная находка при поиске другого)
Sonder;осознание чужой сложности (понимание, что у каждого своя насыщенная жизнь)
Ubiquitous;вездесущий (присутствующий повсюду одновременно)
